house_id,price_act,price_first,advertiser,type,nbhood,street,st_number,sq_m,bedrooms,bathrooms,const_year,floor,lift,balcony,air_con,ft_wardrobes,terrace,exterior,heating
95427447,180000.0,180000.0,Private owner,flat / apartment ,la caleta - la vina,calle doctor maranon,1.0,81.0,3.0,1.0,,3.0,0,0,0,0,0,1,no
95301142,168000.0,168000.0,Private owner,flat / apartment ,mentidero - teatro falla - alameda,calle virgili,7.0,75.0,3.0,1.0,,1.0,0,0,0,1,0,1,no
95225539,179000.0,179000.0,Private owner,studio flat ,la paz - segunda aguada - loreto,calle veracruz,1.0,52.0,0.0,1.0,,0.0,1,0,0,1,0,1,no
95065590,200000.0,200000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,90.0,3.0,2.0,2001.0,1.0,0,1,0,1,0,1,no
94724528,360000.0,360000.0,Private owner,flat / apartment ,la paz - segunda aguada - loreto,avenida segunda aguada,11.0,125.0,4.0,2.0,,1.0,1,0,1,0,0,0,no
94373527,430000.0,430000.0,Private owner,flat / apartment ,cortadura - zona franca,paseo maritimo,28.0,86.0,2.0,2.0,1987.0,11.0,1,0,0,1,0,1,no
94036751,230000.0,230000.0,Private owner,flat / apartment ,zona bahia blanca,calle tolosa latour,19.0,90.0,3.0,1.0,,3.0,1,0,1,0,0,1,no
93737477,330000.0,330000.0,Private owner,flat / apartment ,mentidero - teatro falla - alameda,calle manuel rances,25.0,200.0,8.0,3.0,,1.0,0,0,0,0,0,1,no
93643395,495000.0,495000.0,Private owner, semi-detached house ,mentidero - teatro falla - alameda,plaza mentidero,1.0,400.0,10.0,5.0,,,0,1,1,1,1,0,no
92895690,173500.0,173500.0,Private owner,flat / apartment ,zona san jose - varela,calle francisco garcia de sola,25.0,70.0,3.0,1.0,,2.0,0,1,0,0,1,1,no
91000480,138000.0,138000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,75.0,3.0,1.0,1970.0,3.0,1,0,0,1,0,1,no
86894880,195000.0,195000.0,Private owner,penthouse ,mentidero - teatro falla - alameda,calle navas,8.0,62.0,2.0,1.0,,3.0,0,0,1,0,1,1,individual
33006471,350000.0,350000.0,Private owner,flat / apartment ,centro historico - plaza espana,calle columela,33.0,160.0,5.0,1.0,,3.0,0,1,0,1,1,1,no
1764716,500000.0,500000.0,Private owner,flat / apartment ,playa victoria,paseo maritimo,2.0,136.0,3.0,2.0,,10.0,1,0,0,1,1,1,individual
88959959,99900.0,99900.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,59.0,3.0,1.0,1957.0,3.0,0,0,0,0,0,1,no
96843495,117000.0,117000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,calle real,,50.0,1.0,1.0,2008.0,1.0,1,0,0,1,0,1,no
96533655,400000.0,400000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,72.0,2.0,1.0,,9.0,1,1,0,0,1,1,no
96710768,330000.0,330000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,155.0,7.0,3.0,,1.0,1,1,0,0,1,1,no
96690410,160000.0,160000.0,Professional advertiser,flat / apartment ,zona san jose - varela,unknown,,65.0,2.0,1.0,,3.0,0,0,1,0,0,1,no
96651695,180000.0,180000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,67.0,3.0,1.0,,4.0,1,0,0,0,0,1,no
96612941,200000.0,200000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,108.0,4.0,1.0,,0.0,0,0,0,0,0,1,no
94789136,237000.0,237000.0,Professional advertiser,flat / apartment ,zona bahia blanca,unknown,,90.0,3.0,1.0,,3.0,1,0,1,0,0,1,no
93191382,140000.0,140000.0,Private owner,flat / apartment ,la caleta - la vina,calle cruz,9.0,80.0,3.0,0.0,,0.0,0,0,0,0,0,1,no
90808230,175000.0,175000.0,Private owner,flat / apartment ,la caleta - la vina,calle cruz,22.0,90.0,4.0,2.0,,1.0,0,1,0,1,0,1,no
96879163,223000.0,223000.0,Professional advertiser,duplex ,playa stª mª del mar,unknown,,79.0,2.0,1.0,,0.0,1,0,1,0,0,1,individual
96879141,109000.0,109000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,64.0,2.0,1.0,,0.0,0,0,1,1,0,1,no
96777669,430000.0,430000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,209.0,3.0,2.0,,1.0,0,1,0,0,0,0,no
96774112,470000.0,470000.0,Professional advertiser,flat / apartment ,zona bahia blanca,unknown,,167.0,4.0,2.0,,4.0,1,0,0,1,1,1,no
96742999,110000.0,110000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,48.0,1.0,1.0,1994.0,1.0,0,0,0,1,0,0,no
96733902,105000.0,105000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,55.0,2.0,1.0,,1.0,0,1,0,0,0,1,no
96731036,112000.0,112000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,70.0,2.0,1.0,,0.0,0,0,0,1,0,0,no
96704657,330000.0,330000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,160.0,5.0,3.0,,1.0,1,0,0,1,1,1,no
96651701,160000.0,160000.0,Professional advertiser,flat / apartment ,zona san jose - varela,unknown,,70.0,2.0,1.0,,3.0,0,0,1,0,0,1,no
96693805,170000.0,170000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,95.0,2.0,1.0,,1.0,0,0,0,0,0,0,no
96693196,210000.0,210000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,85.0,2.0,1.0,,1.0,0,0,0,0,0,1,no
96294285,220000.0,220000.0,Professional advertiser,duplex ,playa victoria,unknown,,81.0,2.0,1.0,,0.0,1,0,0,1,0,1,no
95941252,270000.0,270000.0,Professional advertiser,flat / apartment ,zona san jose - varela,unknown,,110.0,4.0,1.0,,1.0,0,0,0,0,0,0,no
95139542,225000.0,225000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,80.0,3.0,1.0,,3.0,1,1,0,1,0,1,no
95669839,400000.0,400000.0,Professional advertiser,penthouse ,la caleta - la vina,obispo urquinaona nn,,155.0,2.0,2.0,2021.0,4.0,1,0,1,0,1,1,individual
93844307,200000.0,200000.0,Professional advertiser,penthouse ,mentidero - teatro falla - alameda,plaza de espana,8.0,53.0,1.0,1.0,1888.0,4.0,0,0,0,1,1,1,no
93668570,550000.0,550000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,270.0,7.0,6.0,,2.0,0,1,1,1,0,1,individual
96781988,180000.0,180000.0,Professional advertiser,flat / apartment ,zona laguna,velazquez,,75.0,3.0,1.0,,1.0,1,0,0,1,1,1,no
96754778,350000.0,350000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,213.0,4.0,3.0,,2.0,0,1,0,0,0,1,no
96713943,200000.0,200000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,ustariz,,75.0,2.0,1.0,,,1,0,0,1,0,1,no
96649490,210000.0,210000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,97.0,2.0,1.0,1970.0,0.0,0,0,1,1,0,0,no
96514528,245000.0,245000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,90.0,3.0,2.0,1971.0,2.0,1,0,0,1,0,1,no
96537842,240000.0,240000.0,Professional advertiser,flat / apartment ,zona laguna,calle goya,,80.0,3.0,1.0,,1.0,1,0,0,0,1,1,no
96525588,134000.0,134000.0,Private owner,flat / apartment ,la paz - segunda aguada - loreto,barbate,5.0,67.0,3.0,1.0,,3.0,1,0,0,1,0,1,no
96506039,250000.0,250000.0,Private owner,flat / apartment ,la caleta - la vina,calle doctores melendez,20.0,100.0,3.0,1.0,1981.0,,0,0,1,0,0,1,no
96468555,225000.0,225000.0,Private owner,flat / apartment ,mentidero - teatro falla - alameda,benjumeda,30.0,99.0,3.0,1.0,,0.0,1,0,1,1,0,1,no
96080043,185000.0,185000.0,Professional advertiser,flat / apartment ,ayuntamiento - catedral,unknown,,86.0,2.0,1.0,1888.0,2.0,0,0,0,0,0,0,no
96443575,185000.0,185000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,85.0,3.0,1.0,1995.0,1.0,0,1,0,0,0,1,no
96389003,165000.0,165000.0,Professional advertiser,penthouse ,ayuntamiento - catedral,unknown,,78.0,2.0,1.0,,3.0,0,0,1,0,1,1,no
96301547,180000.0,180000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,65.0,3.0,1.0,1968.0,4.0,1,0,0,0,0,1,no
96277812,200000.0,200000.0,Professional advertiser,penthouse ,mentidero - teatro falla - alameda,unknown,,71.0,2.0,1.0,2004.0,3.0,1,0,1,1,1,0,no
96228494,380000.0,380000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,112.0,4.0,2.0,2017.0,4.0,0,0,0,0,0,0,no
96200385,126000.0,126000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,66.0,3.0,1.0,1969.0,1.0,1,0,1,1,0,1,no
96200103,125000.0,125000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,67.0,3.0,1.0,,0.0,1,0,0,0,0,1,no
95699394,259000.0,259000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,103.0,3.0,2.0,1961.0,1.0,1,0,1,1,1,1,no
96027949,245000.0,245000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,87.0,3.0,1.0,,2.0,1,0,0,1,0,1,no
95664800,81000.0,81000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,40.0,2.0,1.0,1995.0,0.0,0,0,0,0,0,0,no
95854039,235000.0,235000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,118.0,3.0,2.0,1995.0,1.0,0,1,0,0,0,1,no
90634997,240000.0,240000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,calle fermin salvochea,,114.0,3.0,1.0,,1.0,0,0,0,0,0,0,no
95810081,125000.0,125000.0,Professional advertiser,flat / apartment ,ayuntamiento - catedral,unknown,,62.0,2.0,1.0,1997.0,1.0,0,0,0,0,0,0,no
93454435,196800.0,196800.0,Professional advertiser,flat / apartment ,ayuntamiento - catedral,unknown,,115.0,3.0,1.0,1958.0,0.0,0,1,0,1,0,1,no
95744783,700000.0,700000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,155.0,5.0,3.0,1981.0,7.0,1,0,0,0,1,0,no
95492904,320000.0,320000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,140.0,3.0,2.0,1981.0,3.0,1,0,1,1,1,1,no
95661924,160000.0,160000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,75.0,3.0,1.0,,3.0,0,1,0,0,0,1,no
