house_id,tittle,city,price_act,price_first,details_1_desc,details_2_desc,details_3_desc,advertiser
88309565,Studio flat for sale in Centro Histórico - Plaza España,Cadiz,"220,000","220,000","['80 m² built', 'No bedroom', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 1888', 'Ground floor exterior', 'no lift']",['Consumo:'],[],Professional advertiser
86306710,Penthouse for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"195,000","195,000","['70 m² built', '1 bedroom', '1 bathroom', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', '3rd floor exterior', 'no lift']",['Consumo:'],[],Professional advertiser
81410613,Flat / apartment for sale in Playa Victoria,Cadiz,"725,000","725,000","['185 m² built, 155 m² floor area', '5 bedrooms', '4 bathrooms', 'Terrace', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation South', 'Built in 1981', 'No heating', 'Access adapted for persons with reduced mobility', '7th floor exterior', 'with lift']",['no indicado'],[],Professional advertiser
40315309,Flat / apartment for sale in Playa Victoria,Cadiz,"199,000","199,000","['44 m² built', '1 bedroom', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', '8th floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
96860501,Flat / apartment for sale in Playa Victoria,Cadiz,"265,000","265,000","['85 m² built', '2 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/needs renovating', 'Fitted wardrobes', 'Orientation South', 'Access adapted for persons with reduced mobility', '5th floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
96839285,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"170,000","170,000","['70 m² built', '1 bedroom', '1 bathroom', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', '2nd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
96806293,Flat / apartment for sale in Zona Laguna,Cadiz,"159,000","159,000","['60 m² built, 50 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Built in 1964', 'No heating', '3rd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
91540365,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"350,000","
370,000 €
","['200 m² built', '5 bedrooms', '2 bathrooms', 'Balcony', 'Second hand/needs renovating', 'Fitted wardrobes', 'Orientation South', 'Built in 1888', '3rd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
96717070,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"105,000","105,000","['55 m² built, 50 m² floor area', '2 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Built in 1888', 'No heating', '1st floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
40166983,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"185,000","185,000","['80 m² built', '3 bedrooms', '1 bathroom', 'Second hand/good condition', '1st floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
